Year,Month,Source_District,Target_District,Target_t_plus_1,FAO_MEAN_Control_Mortality_Sum,FAO_MEAN_Sum._Area_Treated_ha,FAO_MEAN_Pesticide_Quantity_Sum,FAO_MODE_Soil_Moisture,FAO_MEAN_Protected_Area_Sum,FAO_MEAN_Avg._Soil_Moisture_Depth_Range_From_cm,FAO_MEAN_Avg._Soil_Moisture_Depth_Range_To_cm,FAO_MEAN_Minimum_Size_Sum,FAO_MEAN_Maximum_Size_Sum,RF_Prob_S,RF_Prob_T,S_Wind_U,S_Wind_V,Wind_Support_Index,Distance_km
2012,2,AWARAN,CHAGAI,1.0,0.0,950,0.0,WET,0.0,0.0,0.0,0.0,0.0,0.26720923,0.7881877,3.36723316273134,-3.953182606690479,-0.5357913920115127,452.3277801647805
2012,2,AWARAN,GWADAR,0.0,0.0,6310,0.0,WET,0.0,0.0,0.0,0.0,0.0,0.26720923,0.90360403,3.36723316273134,-3.953182606690479,-0.4786084199562807,149.86932626088372
2012,2,AWARAN,KECH,1.0,0.0,4300,0.0,DRY,0.0,0.0,0.0,0.0,0.0,0.26720923,0.7633164,3.36723316273134,-3.953182606690479,-0.8084621614495807,155.5019795235992
2012,2,AWARAN,KHARAN,1.0,0.0,11200,0.0,WET,0.0,0.0,0.0,0.0,0.0,0.26720923,0.35322675,3.36723316273134,-3.953182606690479,-0.7001278957723586,311.695732979711
2012,2,AWARAN,LASBELA,0.0,0.0,6540,0.0,DRY,0.0,0.0,0.0,0.0,0.0,0.26720923,0.21076998,3.36723316273134,-3.953182606690479,0.6685045233219489,158.01178416012382
2012,2,AWARAN,NUSHKI,0.0,0.0,570,0.0,WET,0.0,0.0,0.0,0.0,0.0,0.26720923,0.4178123,3.36723316273134,-3.953182606690479,-0.5696486911043749,439.92306729171423
2012,2,AWARAN,PANJGUR,0.0,0.0,1485,0.0,WET,0.0,0.0,0.0,0.0,0.0,0.26720923,0.6740801,3.36723316273134,-3.953182606690479,-0.9635499474053784,142.80069159702637
2012,2,AWARAN,WASHUK,1.0,0.0,4970,0.0,WET,0.0,0.0,0.0,0.0,0.0,0.26720923,0.26517254,3.36723316273134,-3.953182606690479,-0.8182998165490009,254.79212169776164
2012,4,AWARAN,CHAGAI,0.0,0.0,11960,0.0,DRY,0.0,0.0,0.0,0.0,0.0,0.08917628,0.6887097,6.664752497240099,3.3991094624005163,0.4348989366859598,364.90739143921337
2012,4,AWARAN,GWADAR,0.0,0.0,7280,0.0,DRY,0.0,0.0,0.0,0.0,0.0,0.08917628,0.23924546,6.664752497240099,3.3991094624005163,-0.9742357022512356,157.0815583545758
2012,4,AWARAN,KALAT,0.0,0.0,570,0.0,WET,0.0,0.0,0.0,0.0,0.0,0.08917628,0.13966471,6.664752497240099,3.3991094624005163,0.8824158574417013,330.3639928942472
2012,4,AWARAN,KECH,0.0,0.0,1220,0.0,DRY,0.0,0.0,0.0,0.0,0.0,0.08917628,0.5901807,6.664752497240099,3.3991094624005163,-0.8137693558538066,163.5366852440309
2012,4,AWARAN,KHARAN,0.0,0.0,4520,0.0,DRY,0.0,0.0,0.0,0.0,0.0,0.08917628,0.8584001,6.664752497240099,3.3991094624005163,0.7002298227780203,306.3826176805758
2012,4,AWARAN,LASBELA,0.0,0.0,1000,0.0,DRY,0.0,0.0,0.0,0.0,0.0,0.08917628,0.1030867,6.664752497240099,3.3991094624005163,0.8975722139839102,182.11123082340487
2012,4,AWARAN,NUSHKI,0.0,0.0,930,0.0,DRY,0.0,0.0,0.0,0.0,0.0,0.08917628,0.8118444,6.664752497240099,3.3991094624005163,0.7028766759884904,417.0138801796046
2012,4,AWARAN,PANJGUR,0.0,0.0,250,0.0,DRY,0.0,0.0,0.0,0.0,0.0,0.08917628,0.24882968,6.664752497240099,3.3991094624005163,0.0267204516642305,136.19600335874577
2012,4,AWARAN,WASHUK,0.0,0.0,9850,0.0,DRY,0.0,0.0,0.0,0.0,0.0,0.08917628,0.27939662,6.664752497240099,3.3991094624005163,0.3205673813425382,220.86688032445687
2013,3,AWARAN,CHAGAI,0.0,0.0,1280,0.0,WET,0.0,0.0,0.0,0.0,0.0,0.11766686,0.29958504,3.233437139150518,2.012909559572988,0.2746350247390967,380.2849880383868
2013,3,AWARAN,GWADAR,0.0,0.0,200,0.0,WET,0.0,0.0,0.0,0.0,0.0,0.11766686,0.2293051,3.233437139150518,2.012909559572988,-0.8919227865807116,356.1306753434973
2013,3,AWARAN,KECH,0.0,0.0,1530,0.0,DRY,0.0,0.0,0.0,0.0,0.0,0.11766686,0.35837913,3.233437139150518,2.012909559572988,-0.8513922910040703,335.41989279713795
2013,3,AWARAN,KHARAN,0.0,0.0,3500,0.0,WET,0.0,0.0,0.0,0.0,0.0,0.11766686,0.4209144,3.233437139150518,2.012909559572988,0.1887841724399133,304.02059807627523
2013,3,AWARAN,LASBELA,0.0,0.0,2650,0.0,DRY,0.0,0.0,0.0,0.0,0.0,0.11766686,0.1992906,3.233437139150518,2.012909559572988,-0.0419065696792175,37.48219556936086
2013,3,AWARAN,NUSHKI,0.0,0.0,450,0.0,WET,0.0,0.0,0.0,0.0,0.0,0.11766686,0.34272218,3.233437139150518,2.012909559572988,0.4136297241055152,377.5822618413763
2013,3,AWARAN,WASHUK,0.0,0.0,300,0.0,WET,0.0,0.0,0.0,0.0,0.0,0.11766686,0.21691975,3.233437139150518,2.012909559572988,-0.0454389942003712,321.122535057671
2013,4,AWARAN,GWADAR,1.0,0.0,3400,0.0,WET,0.0,0.0,0.0,0.0,0.0,0.03145555,0.028456993,4.356506481943506,2.7792229159337767,-0.925766471966814,118.70736450687215
2013,4,AWARAN,KALAT,1.0,0.0,300,0.0,WET,0.0,0.0,0.0,0.0,0.0,0.03145555,0.013310341,4.356506481943506,2.7792229159337767,0.9379895136793608,392.0800124563271
